"","","","","","",""
"2050259","RANDWICK","26/11/2023","21:11 PM","67","92","Equipment fault"
"2050654","SOUTH SYDNEY","28/11/2023","4:11 AM","694","50","Equipment fault"
"2050657","SOUTH SYDNEY","28/11/2023","6:11 AM","66","989","Equipment fault"
"2050679","RYDE","28/11/2023","10:11 AM","93","159","Third party"
"2050845","MARRICKVILLE","28/11/2023","15:11 PM","66","66","Equipment fault"
"2050885","GOSFORD","28/11/2023","19:11 PM","76","84","Environmental"
"2050939","ROCKDALE","29/11/2023","8:11 AM","94","165","Equipment fault"
"2051006","RYDE","29/11/2023","12:11 PM","76","64","Environmental"
"2051074","CANTERBURY","29/11/2023","15:11 PM","79","20","Environmental"
"2051092","SINGLETON","29/11/2023","15:11 PM","790","57","Environmental"
"2051094","SINGLETON","29/11/2023","15:11 PM","754","88","Environmental"
"2051097","SINGLETON","29/11/2023","15:11 PM","54","224","Lightning"
"2051130","HORNSBY","29/11/2023","16:11 PM","306","252","Equipment fault"
"2051129","SUTHERLAND","29/11/2023","16:11 PM","1240","116","Environmental"
"2051159","SUTHERLAND","29/11/2023","16:11 PM","1584","181","Environmental"
"2051271","KOGARAH","29/11/2023","16:11 PM","103","484","Environmental"
"2051150","SUTHERLAND","29/11/2023","16:11 PM","788","262","Equipment fault"
"2051115","HORNSBY","29/11/2023","16:11 PM","1088","93","Environmental"
"2051171","HURSTVILLE","29/11/2023","16:11 PM","1060","204","Lightning"
"2051175","CESSNOCK","29/11/2023","16:11 PM","2396","233","Environmental"
"2051170","SUTHERLAND","29/11/2023","16:11 PM","52","218","Environmental"
"2051188","LAKE MACQUARIE","29/11/2023","16:11 PM","1080","441","Environmental"
"2051207","LAKE MACQUARIE","29/11/2023","16:11 PM","587","272","Equipment fault"
"2051198","LAKE MACQUARIE","29/11/2023","16:11 PM","1916","292","Environmental"
"2051197","DRUMMOYNE","29/11/2023","16:11 PM","52","156","Environmental"
"2051246","LAKE MACQUARIE","29/11/2023","16:11 PM","523","212","Environmental"
"2051214","BANKSTOWN","29/11/2023","16:11 PM","72","80","Environmental"
"2051228","WYONG","29/11/2023","17:11 PM","897","55","Environmental"
"2051319","CANTERBURY","29/11/2023","17:11 PM","51","195","Third party"
"2051379","LAKE MACQUARIE","29/11/2023","17:11 PM","81","557","Equipment fault"
"2051359","HORNSBY","29/11/2023","17:11 PM","1289","133","Environmental"
"2051441","GOSFORD","29/11/2023","19:11 PM","306","104","Equipment fault"
"2051284","LAKE MACQUARIE","29/11/2023","19:11 PM","57","825","Environmental"
"2051504","ROCKDALE","29/11/2023","21:11 PM","647","120","Environmental"
"2051548","MUSWELLBROOK","30/11/2023","2:11 AM","1125","108","Environmental"
"2051591","HORNSBY","30/11/2023","6:11 AM","208","211","Equipment fault"
"2051738","BANKSTOWN","30/11/2023","11:11 AM","643","70","Equipment fault"
"2051808","KU-RING-GAI","30/11/2023","14:11 PM","57","202","Environmental"
"2052045","NORTH SYDNEY","30/11/2023","21:11 PM","103","731","Environmental"
"2052207","CESSNOCK","1/12/2023","16:12 PM","99","205","Equipment fault"
"2052263","SINGLETON","2/12/2023","0:12 AM","137","603","Environmental"
"2052252","CANTERBURY","2/12/2023","9:12 AM","86","485","Third party"
"2052315","SINGLETON","2/12/2023","11:12 AM","137","115","Equipment fault"
"2062116","SINGLETON","2/12/2023","15:12 PM","137","1,192","Equipment fault"
"2052370","BANKSTOWN","2/12/2023","21:12 PM","1130","166","Lightning"
"2052395","SUTHERLAND","3/12/2023","2:12 AM","58","75","Environmental"
"2052412","WILLOUGHBY","3/12/2023","5:12 AM","53","492","Equipment fault"
"2052490","LAKE MACQUARIE","3/12/2023","18:12 PM","77","68","Environmental"
"2052529","RANDWICK","3/12/2023","19:12 PM","2986","118","Equipment fault"
"2052535","LAKE MACQUARIE","3/12/2023","22:12 PM","190","7","Environmental"
"2052523","PORT STEPHENS","3/12/2023","23:12 PM","65","209","Equipment fault"
"2052561","MAITLAND","4/12/2023","5:12 AM","672","114","Environmental"
"2052912","MUSWELLBROOK","4/12/2023","6:12 AM","176","234","Environmental"
"2052705","NORTH SYDNEY","4/12/2023","12:12 PM","607","103","Cable dig"
"2052780","CANTERBURY","4/12/2023","16:12 PM","112","295","Third party"
"2052805","ROCKDALE","4/12/2023","20:12 PM","8424","45","Environmental"
"2052814","SUTHERLAND","4/12/2023","21:12 PM","1512","131","Equipment fault"
"2052829","MANLY","5/12/2023","0:12 AM","2073","78","Environmental"
"2052832","PITTWATER","5/12/2023","1:12 AM","77","88","Environmental"
"2052854","RANDWICK","5/12/2023","1:12 AM","51","644","Equipment fault"
"2052752","MARRICKVILLE","5/12/2023","11:12 AM","60","350","Environmental"
"2052941","DRUMMOYNE","5/12/2023","13:12 PM","55","209","Environmental"
"2053000","SUTHERLAND","5/12/2023","16:12 PM","58","126","Equipment fault"
"2053002","STRATHFIELD","5/12/2023","16:12 PM","101","315","Equipment fault"
"2053028","HURSTVILLE","5/12/2023","18:12 PM","57","87","Equipment fault"
"2053034","GOSFORD","5/12/2023","18:12 PM","1039","62","Environmental"
"2053081","LAKE MACQUARIE","6/12/2023","3:12 AM","755","47","Environmental"
"2053086","LAKE MACQUARIE","6/12/2023","4:12 AM","69","442","Environmental"
"2053363","RYDE","6/12/2023","16:12 PM","100","179","Equipment fault"
"2053520","HORNSBY","7/12/2023","12:12 PM","1046","92","Equipment fault"
"2053498","RYDE","7/12/2023","17:12 PM","55","45","Equipment fault"
"2053588","WARRINGAH","7/12/2023","18:12 PM","140","92","Environmental"
"2053606","GOSFORD","8/12/2023","2:12 AM","306","103","Environmental"
"2053656","ROCKDALE","8/12/2023","11:12 AM","2004","108","Equipment fault"
"2053664","BANKSTOWN","8/12/2023","11:12 AM","54","28","Equipment fault"
"2053722","GOSFORD","8/12/2023","15:12 PM","1014","20","Equipment fault"
"2053730","MUSWELLBROOK","8/12/2023","16:12 PM","255","103","Environmental"
"2053738","ASHFIELD","8/12/2023","16:12 PM","554","98","Equipment fault"
"2053748","MAITLAND","8/12/2023","17:12 PM","68","131","Equipment fault"
"2053753","HORNSBY","8/12/2023","17:12 PM","2164","140","Lightning"
"2053814","AUBURN","8/12/2023","22:12 PM","346","48","Environmental"
"2053797","CESSNOCK","8/12/2023","22:12 PM","96","75","Third party"
"2053823","RYDE","8/12/2023","22:12 PM","1889","93","Equipment fault"
"2053829","HURSTVILLE","8/12/2023","23:12 PM","1364","90","Environmental"
"2053835","NORTH SYDNEY","9/12/2023","2:12 AM","300","101","Third party"
"2053889","GOSFORD","9/12/2023","10:12 AM","87","88","Environmental"
"2053894","PITTWATER","9/12/2023","11:12 AM","76","354","Environmental"
"2053899","AUBURN","9/12/2023","11:12 AM","1182","128","Equipment fault"
"2053909","SUTHERLAND","9/12/2023","12:12 PM","640","99","Equipment fault"
"2053913","CANTERBURY","9/12/2023","12:12 PM","64","310","Environmental"
"2053920","AUBURN","9/12/2023","12:12 PM","54","385","Environmental"
"2053927","GOSFORD","9/12/2023","12:12 PM","1680","141","Equipment fault"
"2053933","GOSFORD","9/12/2023","13:12 PM","75","257","Environmental"
"2053936","KOGARAH","9/12/2023","13:12 PM","1384","58","Equipment fault"
"2053946","CANTERBURY","9/12/2023","13:12 PM","1196","172","Equipment fault"
"2053963","LAKE MACQUARIE","9/12/2023","14:12 PM","1553","72","Equipment fault"
"2053993","AUBURN","9/12/2023","14:12 PM","1181","139","Environmental"
"2054015","WYONG","9/12/2023","15:12 PM","1827","991","Environmental"
"2054016","WYONG","9/12/2023","15:12 PM","1403","1,004","Environmental"
"2054072","KU-RING-GAI","9/12/2023","16:12 PM","1187","117","Environmental"
"2054025","WYONG","9/12/2023","17:12 PM","188","177","Environmental"
"2054093","BANKSTOWN","9/12/2023","17:12 PM","68","119","Environmental"
"2054116","NEWCASTLE","9/12/2023","18:12 PM","124","58","Environmental"
"2054126","GOSFORD","9/12/2023","18:12 PM","120","256","Environmental"
"2054132","WYONG","9/12/2023","18:12 PM","327","968","Environmental"
"2054136","WYONG","9/12/2023","19:12 PM","160","236","Lightning"
"2054158","NEWCASTLE","9/12/2023","19:12 PM","76","104","Environmental"
"2054225","CANTERBURY","9/12/2023","21:12 PM","76","186","Equipment fault"
"2054315","WYONG","9/12/2023","23:12 PM","330","134","Environmental"
"2054321","CANTERBURY","10/12/2023","0:12 AM","66","111","Environmental"
"2054340","CANTERBURY","10/12/2023","0:12 AM","56","138","Environmental"
"2054313","STRATHFIELD","10/12/2023","1:12 AM","71","591","Environmental"
"2054356","SUTHERLAND","10/12/2023","1:12 AM","57","59","Environmental"
"2054400","DRUMMOYNE","10/12/2023","6:12 AM","1767","88","Equipment fault"
"2054407","BURWOOD","10/12/2023","7:12 AM","52","342","Environmental"
"2054626","SOUTH SYDNEY","10/12/2023","17:12 PM","730","49","Equipment fault"
"2054633","BANKSTOWN","10/12/2023","18:12 PM","74","43","Environmental"
"2054644","RANDWICK","10/12/2023","20:12 PM","63","100","Environmental"
"2054472","LANE COVE","10/12/2023","22:12 PM","92","52","Environmental"
"2054668","LEICHHARDT","10/12/2023","23:12 PM","273","59","Equipment fault"
"2054671","GOSFORD","10/12/2023","23:12 PM","734","65","Environmental"
"2054679","HURSTVILLE","11/12/2023","4:12 AM","71","320","Environmental"
"2054756","RYDE","11/12/2023","9:12 AM","1222","40","Equipment fault"
"2054759","MAITLAND","11/12/2023","9:12 AM","2256","171","Environmental"
"2054808","HUNTERS HILL","11/12/2023","11:12 AM","81","321","Third party"
"2054822","WILLOUGHBY","11/12/2023","12:12 PM","62","78","Environmental"
"2054893","CANTERBURY","11/12/2023","15:12 PM","771","107","Equipment fault"
"2054921","AUBURN","11/12/2023","17:12 PM","71","291","Equipment fault"
"2054958","LAKE MACQUARIE","11/12/2023","20:12 PM","160","320","Equipment fault"
"2054980","GOSFORD","12/12/2023","2:12 AM","1256","104","Environmental"
"2055002","SYDNEY","12/12/2023","8:12 AM","2135","71","Equipment fault"
"2055066","WOOLLAHRA","12/12/2023","12:12 PM","1026","65","Equipment fault"
"2055109","WARRINGAH","12/12/2023","14:12 PM","1226","73","Equipment fault"
"2055180","AUBURN","12/12/2023","21:12 PM","685","104","Equipment fault"
"2055184","LAKE MACQUARIE","12/12/2023","22:12 PM","250","115","Environmental"
"2055197","SOUTH SYDNEY","12/12/2023","23:12 PM","2729","93","Equipment fault"
"2055307","PITTWATER","13/12/2023","11:12 AM","98","96","Equipment fault"
"2055362","BOTANY","13/12/2023","14:12 PM","640","53","Equipment fault"
"2055455","CANTERBURY","13/12/2023","21:12 PM","110","168","Equipment fault"
"2055459","ROCKDALE","13/12/2023","22:12 PM","255","115","Lightning"
"2055478","WARRINGAH","14/12/2023","4:12 AM","956","149","Equipment fault"
"2055485","GOSFORD","14/12/2023","5:12 AM","1359","137","Equipment fault"
"2055527","NEWCASTLE","14/12/2023","9:12 AM","2120","48","Equipment fault"
"2055540","SYDNEY","14/12/2023","10:12 AM","1202","104","Environmental"
"2055577","CESSNOCK","14/12/2023","12:12 PM","639","80","Environmental"
"2055580","WAVERLEY","14/12/2023","12:12 PM","81","191","Environmental"
"2055594","GOSFORD","14/12/2023","13:12 PM","306","48","Environmental"
"2055619","RANDWICK","14/12/2023","14:12 PM","117","216","Equipment fault"
"2055659","SCONE","14/12/2023","14:12 PM","297","316","Environmental"
"2055628","MUSWELLBROOK","14/12/2023","14:12 PM","526","184","Environmental"
"2055648","HORNSBY","14/12/2023","15:12 PM","103","137","Environmental"
"2055677","WYONG","14/12/2023","16:12 PM","1722","85","Equipment fault"
"2055666","GOSFORD","14/12/2023","16:12 PM","9515","53","Equipment fault"
"2055729","ASHFIELD","14/12/2023","17:12 PM","556","58","Equipment fault"
"2055751","SOUTH SYDNEY","14/12/2023","17:12 PM","213","63","Equipment fault"
"2055747","SUTHERLAND","14/12/2023","17:12 PM","57","353","Equipment fault"
"2055765","SOUTH SYDNEY","14/12/2023","17:12 PM","302","101","Equipment fault"
"2055772","KU-RING-GAI","14/12/2023","17:12 PM","1177","76","Equipment fault"
"2055766","CONCORD","14/12/2023","17:12 PM","78","365","Environmental"
"2055587","MUSWELLBROOK","14/12/2023","17:12 PM","61","42","Equipment fault"
"2055791","CESSNOCK","14/12/2023","18:12 PM","1518","605","Environmental"
"2055793","SOUTH SYDNEY","14/12/2023","18:12 PM","66","1,053","Third party"
"2055805","GOSFORD","14/12/2023","18:12 PM","2113","110","Environmental"
"2055806","GOSFORD","14/12/2023","18:12 PM","1105","153","Equipment fault"
"2055860","CONCORD","14/12/2023","18:12 PM","537","163","Equipment fault"
"2055740","SUTHERLAND","14/12/2023","19:12 PM","424","60","Equipment fault"
"2055894","SUTHERLAND","14/12/2023","20:12 PM","2452","92","Equipment fault"
"2055925","WARRINGAH","14/12/2023","20:12 PM","836","37","Environmental"
"2055988","HORNSBY","15/12/2023","0:12 AM","1289","65","Environmental"
"2060189","RANDWICK","15/12/2023","4:12 AM","99","401","Equipment fault"
"2055999","NEWCASTLE","15/12/2023","4:12 AM","91","210","Environmental"
"2056070","RYDE","15/12/2023","9:12 AM","75","34","Equipment fault"
"2056072","MOSMAN","15/12/2023","9:12 AM","62","417","Environmental"
"2055996","RANDWICK","15/12/2023","10:12 AM","63","10","Equipment fault"
"2056122","BANKSTOWN","15/12/2023","11:12 AM","563","114","Equipment fault"
"2055603","KOGARAH","15/12/2023","12:12 PM","105","178","Equipment fault"
"2056223","CESSNOCK","15/12/2023","16:12 PM","4959","105","Environmental"
"2056266","ROCKDALE","15/12/2023","16:12 PM","2457","59","Equipment fault"
"2056276","GOSFORD","15/12/2023","17:12 PM","746","88","Equipment fault"
"2056313","MARRICKVILLE","15/12/2023","21:12 PM","144","64","Equipment fault"
"2056316","SUTHERLAND","15/12/2023","22:12 PM","785","55","Equipment fault"
"2056328","SOUTH SYDNEY","16/12/2023","1:12 AM","650","54","Equipment fault"
"2056332","BOTANY","16/12/2023","4:12 AM","336","77","Equipment fault"
"2056333","WYONG","16/12/2023","4:12 AM","1713","83","Environmental"
"2056380","WYONG","16/12/2023","11:12 AM","245","109","Environmental"
"2056430","RANDWICK","16/12/2023","15:12 PM","1389","284","Environmental"
"2056463","GOSFORD","16/12/2023","16:12 PM","1137","174","Equipment fault"
"2056461","GOSFORD","16/12/2023","16:12 PM","856","105","Equipment fault"
"2056484","CANTERBURY","16/12/2023","17:12 PM","84","190","Equipment fault"
"2056518","RYDE","16/12/2023","21:12 PM","1020","30","Equipment fault"
"2056520","WARRINGAH","16/12/2023","22:12 PM","1693","183","Environmental"
"2056562","GOSFORD","17/12/2023","10:12 AM","92","74","Equipment fault"
"2056598","SYDNEY","17/12/2023","13:12 PM","90","382","Equipment fault"
"2056657","CANTERBURY","17/12/2023","20:12 PM","59","46","Operating fault"
"2056679","SYDNEY","18/12/2023","2:12 AM","1891","153","Equipment fault"
"2056761","HORNSBY","18/12/2023","9:12 AM","54","30","Environmental"
"2056913","SUTHERLAND","18/12/2023","21:12 PM","53","70","Environmental"
"2056931","WARRINGAH","18/12/2023","21:12 PM","2068","201","Equipment fault"
"2056934","WARRINGAH","18/12/2023","22:12 PM","3090","109","Environmental"
"2056940","AUBURN","18/12/2023","23:12 PM","236","120","Equipment fault"
"2056954","RANDWICK","19/12/2023","4:12 AM","1565","96","Equipment fault"
"2056955","WYONG","19/12/2023","4:12 AM","2554","126","Equipment fault"
"2057177","PORT STEPHENS","19/12/2023","15:12 PM","461","390","Equipment fault"
"2057174","PORT STEPHENS","19/12/2023","15:12 PM","1347","305","Environmental"
"2057202","PORT STEPHENS","19/12/2023","16:12 PM","401","533","Environmental"
"2057206","MAITLAND","19/12/2023","16:12 PM","344","332","Third party"
"2057212","SINGLETON","19/12/2023","16:12 PM","280","98","Environmental"
"2057297","WOOLLAHRA","19/12/2023","18:12 PM","72","104","Environmental"
"2057310","MERRIWA","19/12/2023","18:12 PM","157","267","Equipment fault"
"2057315","MUSWELLBROOK","19/12/2023","18:12 PM","111","365","Equipment fault"
"2057316","MUSWELLBROOK","19/12/2023","18:12 PM","93","236","Environmental"
"2057378","NEWCASTLE","19/12/2023","21:12 PM","609","374","Environmental"
"2057409","SOUTH SYDNEY","19/12/2023","23:12 PM","67","29","Equipment fault"
"2057417","SINGLETON","19/12/2023","23:12 PM","131","19","Equipment fault"
"2057469","WOOLLAHRA","20/12/2023","5:12 AM","92","128","Environmental"
"2057449","WYONG","20/12/2023","5:12 AM","1030","7","Equipment fault"
"2057529","CESSNOCK","20/12/2023","8:12 AM","665","67","Equipment fault"
"2057672","WAVERLEY","20/12/2023","12:12 PM","62","69","Equipment fault"
"2057680","SOUTH SYDNEY","20/12/2023","12:12 PM","224","297","Environmental"
"2057683","WARRINGAH","20/12/2023","12:12 PM","1729","125","Equipment fault"
"2057739","SOUTH SYDNEY","20/12/2023","14:12 PM","1425","142","Equipment fault"
"2057744","WARRINGAH","20/12/2023","14:12 PM","72","170","Equipment fault"
"2057453","PORT STEPHENS","20/12/2023","16:12 PM","82","77","Equipment fault"
"2057801","WARRINGAH","20/12/2023","16:12 PM","60","128","Equipment fault"
"2057802","MAITLAND","20/12/2023","16:12 PM","1533","5","Equipment fault"
"2057825","GOSFORD","20/12/2023","17:12 PM","957","46","Environmental"
"2057858","KU-RING-GAI","20/12/2023","21:12 PM","1076","80","Environmental"
"2057936","WARRINGAH","21/12/2023","9:12 AM","62","235","Equipment fault"
"2058071","MOSMAN","21/12/2023","11:12 AM","53","30","Equipment fault"
"2058074","WYONG","21/12/2023","11:12 AM","134","55","Environmental"
"2058121","PITTWATER","21/12/2023","12:12 PM","68","110","Environmental"
"2058152","CANTERBURY","21/12/2023","13:12 PM","66","116","Environmental"
"2058255","WARRINGAH","21/12/2023","19:12 PM","493","182","Equipment fault"
"2058271","WAVERLEY","21/12/2023","23:12 PM","66","126","Environmental"
"2058298","MAITLAND","22/12/2023","0:12 AM","171","80","Equipment fault"
"2058299","SUTHERLAND","22/12/2023","0:12 AM","728","77","Environmental"
"2058304","CANTERBURY","22/12/2023","5:12 AM","164","139","Environmental"
"2058367","SYDNEY","22/12/2023","9:12 AM","84","25","Equipment fault"
"2058377","SUTHERLAND","22/12/2023","10:12 AM","51","95","Environmental"
"2058417","LEICHHARDT","22/12/2023","13:12 PM","122","136","Customer installation"
"2061338","SYDNEY","22/12/2023","16:12 PM","84","13","Equipment fault"
"2058490","HORNSBY","22/12/2023","23:12 PM","597","95","Environmental"
"2058498","RYDE","23/12/2023","6:12 AM","52","187","Equipment fault"
"2058503","ASHFIELD","23/12/2023","7:12 AM","1136","53","Equipment fault"
"2058628","MUSWELLBROOK","24/12/2023","8:12 AM","1161","28","Equipment fault"
"2058662","LAKE MACQUARIE","24/12/2023","12:12 PM","445","113","Environmental"
"2058689","WARRINGAH","24/12/2023","13:12 PM","2070","89","Equipment fault"
"2058750","LEICHHARDT","24/12/2023","18:12 PM","57","385","Equipment fault"
"2058800","SUTHERLAND","25/12/2023","3:12 AM","2674","75","Environmental"
"2058850","GOSFORD","25/12/2023","13:12 PM","1517","71","Environmental"
"2058877","CANTERBURY","25/12/2023","14:12 PM","56","52","Environmental"
"2058979","SINGLETON","25/12/2023","17:12 PM","96","1,680","Equipment fault"
"2058914","LAKE MACQUARIE","25/12/2023","19:12 PM","1223","112","Lightning"
"2058889","SINGLETON","25/12/2023","19:12 PM","401","230","Equipment fault"
"2058940","NEWCASTLE","25/12/2023","21:12 PM","144","148","Lightning"
"2058942","LAKE MACQUARIE","25/12/2023","21:12 PM","936","171","Lightning"
"2058944","LAKE MACQUARIE","25/12/2023","21:12 PM","788","197","Lightning"
"2058943","PITTWATER","25/12/2023","21:12 PM","64","148","Environmental"
"2058977","BANKSTOWN","26/12/2023","1:12 AM","373","104","Equipment fault"
"2059030","PITTWATER","26/12/2023","10:12 AM","64","101","Environmental"
"2059055","WYONG","26/12/2023","12:12 PM","1365","100","Environmental"
"2058911","NORTH SYDNEY","26/12/2023","16:12 PM","95","249","Customer installation"
"2059093","STRATHFIELD","26/12/2023","16:12 PM","1394","109","Equipment fault"
"2059110","LEICHHARDT","26/12/2023","17:12 PM","81","341","Equipment fault"
"2059112","NEWCASTLE","26/12/2023","17:12 PM","64","623","Equipment fault"
"2059094","WAVERLEY","26/12/2023","18:12 PM","78","65","Environmental"
"2059230","GOSFORD","27/12/2023","12:12 PM","1516","3","Environmental"
"2059247","BANKSTOWN","27/12/2023","14:12 PM","3200","82","Lightning"
"2059253","SUTHERLAND","27/12/2023","14:12 PM","1354","66","Lightning"
"2059267","SUTHERLAND","27/12/2023","14:12 PM","1115","48","Lightning"
"2059263","WOOLLAHRA","27/12/2023","14:12 PM","99","58","Environmental"
"2059322","CESSNOCK","27/12/2023","17:12 PM","123","8","Equipment fault"
"2059608","SINGLETON","29/12/2023","13:12 PM","274","253","Lightning"
"2059619","CESSNOCK","29/12/2023","13:12 PM","1441","131","Lightning"
"2059617","SINGLETON","29/12/2023","14:12 PM","510","43","Environmental"
"2059628","MAITLAND","29/12/2023","14:12 PM","1261","113","Lightning"
"2059634","NEWCASTLE","29/12/2023","14:12 PM","113","278","Lightning"
"2059597","GOSFORD","29/12/2023","18:12 PM","69","29","Equipment fault"
"2059710","KU-RING-GAI","29/12/2023","18:12 PM","65","55","Equipment fault"
"2059744","NEWCASTLE","30/12/2023","0:12 AM","136","54","Equipment fault"
"2059804","SUTHERLAND","30/12/2023","13:12 PM","78","134","Environmental"
"2059822","WYONG","30/12/2023","15:12 PM","396","80","Environmental"
"2059861","PORT STEPHENS","30/12/2023","23:12 PM","688","875","Environmental"
"2059871","WARRINGAH","31/12/2023","1:12 AM","69","328","Equipment fault"
"2059879","RANDWICK","31/12/2023","2:12 AM","165","182","Equipment fault"
